Movie,Realease Year,Genere
10 ML LOVE,2010,Comedy
2 LAVA 2 LANTULA,2016,Action
2 STATES,2014,Comedy
23RD MARCH 1931 SHAHEED,2002,Biography
24 GHANTE IN CHENNAI,2013,Thriller
31ST OCTOBER,2015,Action
A GENTLEMAN,2017,Action
A VIEW TO A KILL,1985,Action
AAG SE KHELENGE (NAINA GANGULY),1989,Action
AAGHAAZ,2000,Action
AAJ KA GOONDARAAJ (CHIRANJEEVI),1992,Action
AAJ KA YUGHANDHAR,2015,Action
AAJ KI PUKAR,1976,Action
AAKHRI ELAAN,2010,Drama
AAS,1953,Romance
AATISH FEEL THE FIRE,1994,Action
AATMA KA GHAR,2012,Horror
AATMA KA GHAR 2,2019,Horror
AATMA KA KHEL,2019,Horror
AB KE BARAS,2002,Action
ABHAY,2019,Fantasy
ACTION JACKSON,2014,Action
AGGAR PASSION BETRAYAL TERROR,2007,Romance
AGNIRAKSHAS,1995,Action
AIYAARY,2018,Action
AJNABEE (BOBBY DEOL),2001,Action
AKIRA,1988,Action
AKSAR,2006,Drama
ALIBABA AUR 40 CHOR (SANJEEV KUMAR),1980,Fantasy
ALICE THROUGH THE LOOKING GLASS,2016,Adventure
ALL IS GOOD,2018,Drama
ANGELS & DEMONS,2009,Action
ANT-MAN,2015,Action
ANT-MAN AND THE WASP,2018,Action
ARJUN PANDIT (SUNNY DEOL),1999,Action
ARJUN REDDY,2017,Action
ARMED RESPONSE,2017,Action
ARTHUR AND THE MINIMOYS,2006,Animation
ARUNDHATI EK ANOKHI KAHAANI,2009,Horror
AULAD (SRIDEVI),1987,Drama
AVANTHIKA,2017,Comedy
AVENGERS AGE OF ULTRON,2015,Action
AVENGERS INFINITY WAR,2018,Action
AXE GIANT,2013,Action
BAADSHAHO,2017,Action
BAAGHI 2,2018,Action
BABY,2015,Action
BAD TEACHER,2011,Comedy
BADE GHAR KI BETI,1989,Drama
BADE MIYAN CHOTE MIYAN,1998,Action
BADHAAI HO,2018,Comedy
BADMAASH,1998,Romance
BAGAWAT EK JUNG (PRABHAS),2001,Action
